Company,ActiveBrand,Headquarters,Employees,Founded,LeadExecutive,ParentStockTicker,ParentPublicExposure,PrimarySector,PrimarySubSector,ImmigrationDetentionInvolvement,SupportsPrisonLabor,HarmScore,AnnualRevenuesMn,RevenueFiscalYear,Website,Corrections,ImmigrationDetention,PrisonLabor,Financials,Other ,Rank
Magpul,Y,TX,110,1999,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",28.00,2018,https://www.magpul.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1181
Saeilo,Y,PA,180,1981,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",28.00,2018,http://www.saeilo.com,See Kahr Firearms Group and Saeilo Manufacturing Industries,n/a,n/a,PrivCo (www.privco.com),n/a,1182
Smile Business Products,Y,CA,133,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",28.00,2018,https://www.smilebpi.com/,California Spending Data - 2018,n/a,n/a,PrivCo (www.privco.com),n/a,1183
Strategic Enterprise Solutions,Y,VA,170,2003,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",28.00,2018,http://www.sesolutions.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1184
Trofholz Technologies ,Y,CA,140,2002,Yvonne Pire,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",28.00,2018,https://www.trofholz.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1185
Vicon Industries,Y,NY,85,1967,Saagar Govil,VCON,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Technology,n/a,n/a,9,27.70,2018,https://www.vicon-security.com/,https://s23.a2zinc.net/clients/aja/aja2018/public/exhibitors.aspx,n/a,n/a,FactSet,n/a,1186
Pyramid Systems ,Y,VA,195,1995,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",27.50,2018,https://pyramidsystems.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1187
American Correctional Solutions,Y,CA,110,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Medical Healthcare,n/a,n/a,"n/a,",27.00,2018,http://www.correctionalsolutions.com/,http://www.correctionalsolutions.com/clients/,n/a,n/a,PrivCo (www.privco.com),n/a,1188
Bernard Food Industries,Y,IL,90,1947,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,"n/a,",27.00,2018,http://www.bernardfoods.com/,http://www.bernardfoods.com/about.htm,n/a,n/a,PrivCo (www.privco.com),n/a,1189
Derby Industries,Y,IN,75,1975,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",27.00,2018,https://www.derbyindustries.com/,https://www.derbyindustries.com/ecommerce/products.cfm?item=Corrections-Jail-Mattresses-c84,n/a,n/a,PrivCo (www.privco.com),n/a,1190
Florida Food Service,Y,FL,90,1948,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,"n/a,",27.00,2018,http://www.ffsinc.com/,FBOP Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1191
Gemini Industries ,Y,MA,110,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,"n/a,",27.00,2018,http://www.geminiindustries.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1192
Hickory Brands,Y,NC,110,1923,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",27.00,2018,https://hickorybrands.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),n/a,1193
Intoximeters,Y,MO,95,1945,n/a,n/a,Tier 4 - Small Privately-Owned,Healthcare,Substance Abuse Treatment,n/a,n/a,"n/a,",27.00,2018,http://www.intox.com/,http://register.aca.org/DOCS/Conference/COC2017/FINAL%20St%20Louis%20PROGRAM%20BOOK.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1194
Metal Production Inc (MPI),Y,KY,110,1980,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",27.00,2018,http://www.metalproductsinc.com/,http://www.4specs.com/s/08/08-3460.html,n/a,n/a,PrivCo (www.privco.com),n/a,1195
Pika International,Y,TX,110,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",27.00,2018,http://www.truetac.com/,See Marquis Software Solutions,n/a,n/a,PrivCo (www.privco.com),n/a,1196
ProPhoenix,Y,NJ,120,2004,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,Corrections Data Systems,n/a,n/a,"n/a,",27.00,2018,http://www.prophoenix.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1197
Sprung Instant Structures,Y,UT,110,1887,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",27.00,2018,http://www.sprung.com/,http://www.sprung.com/structures/government-buildings/correctional-facilities/,n/a,n/a,PrivCo (www.privco.com),n/a,1198
Tsymmetry,Y,DC,160,1999,Philip Lowit,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",27.00,2018,https://www.tsymmetry.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1199
Homag,Y,Germany,"6,371",1960,Pekka Paasivaara,HG1-DE,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,26.20,2018,https://www.homag.com/en/,See Stiles Machinery,n/a,n/a,FactSet,n/a,1200
Klotz Associates,N,TX,165,1985,n/a,RPS-GB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,10,26.20,2015,http://www.klotz.com/,TDCJ Spending,n/a,n/a,https://fusiondiginet.com/2015/02/17/rps-group-acquires-klotz-associates-for-up-to-24-1m/,n/a,1201
Brazos Forest Products,Y,NY,130,2007,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",26.00,2018,http://www.brazosfp.com/,See MicroPact,n/a,n/a,PrivCo (www.privco.com),n/a,1202
Citizant ,Y,VA,200,1999,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",26.00,2018,https://citizant.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1203
Continental Girbau,Y,WI,60,1995,Merce Girbau,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",26.00,2018,http://www.cgilaundry.com/,https://www.cgilaundry.com/commercial-corrections.html,n/a,n/a,PrivCo (www.privco.com),n/a,1204
Easter-Owens Electric,Y,CO,70,1955,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",26.00,2018,https://www.easter-owens.com/,https://www.easter-owens.com/what-we-do/industries/jailsprisons/,n/a,n/a,PrivCo (www.privco.com),n/a,1205
RW Companies,Y,PA,,1994,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",26.00,2018,http://www.rwmodular.com/,http://www.rwmodular.com/markets/,n/a,n/a,PrivCo (www.privco.com),n/a,1206
United Security,Y,NJ,"1,200",1992,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Third Party Staffing,n/a,n/a,"n/a,",26.00,2018,https://usisecurity.com,FBOP Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1207
Weisinger,Y,TX,180,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",26.00,2018,http://www.weisingerInc.com/,See Good Source Solutions,n/a,n/a,PrivCo (www.privco.com),n/a,1208
SchenkelShultz Architecture,Y,FL,50,1958,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",25.80,2018,https://www.schenkelshultz.com/,http://gracehebert.com/files/news/Correctional_News_2015_Architect_List.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1209
Brown Enterprise Solutions,Y,OH,10,2001,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",25.40,2018,http://www.besolutions.org/,OH DRC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1210
Qumu Corp (formerly Rimage Corporation),Y,MN,97,2002,Vern Hanzlik,QUMU,Tier 1b - Publicly Traded - Other,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,9,25.40,2019,https://qumu.com,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,FactSet,n/a,1211
Lawmen's Safety Supply,Y,NC,50,1987,n/a,n/a,Tier 2 - Investment Firm-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,15,25.10,2017,https://www.lawmens.com/,See website,n/a,n/a,PrivCo (www.privco.com),https://www.safariland.com/news-posts/the-safariland-group-acquires-lawmens-safety-supply.html#sm.0001lrjq8rw51d8sytr25zjpr5w8r,1212
Allen Packaging,Y,CA,45,1982,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,n/a,n/a,"n/a,",25.00,2018,http://allenpkg.com/,http://www.acfsa.org/marketplace/marketplaceSearch.php?mCritQ=2,n/a,n/a,PrivCo (www.privco.com),n/a,1213
ARC Aspicio,Y,VA,75,2004,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",Y,n/a,"n/a,",25.00,2018,http://www.arcaspicio.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1214
EOTech,Y,MI,,1995,n/a,LLL-CA,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Equipment,Security Equipment,n/a,n/a,14,25.00,2006,http://www.eotechinc.com/,http://www.eotechinc.com/law-enforcement-and-military,n/a,n/a,https://www.businesswire.com/news/home/20050922005485/en/L-3-Communications-Agrees-Acquire-EOTech-Leading-Developer,http://www.eotechinc.com/company,1215
Epic Metals,Y,PA,110,1968,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",25.00,2018,https://www.epicmetals.com/,See Nesco Sales & Rentals,n/a,n/a,PrivCo (www.privco.com),n/a,1216
Full Source,Y,FL,,2001,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",25.00,2018,https://www.fullsource.com/,https://aja.multiview.com/,n/a,n/a,PrivCo (www.privco.com),n/a,1217
Gregory Pest Control,Y,SC,230,1972,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",25.00,2018,https://smarterpestcontrol.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1218
ICS Jail Supplies,Y,TX,45,1988,Michelle Markum,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Commissary,n/a,n/a,"n/a,",25.00,2018,http://icswaco.com/toiletries.aspx,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1219
ImageSoft,Y,MI,120,1996,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,"Arrest, Court, & Probation Data Systems",n/a,n/a,"n/a,",25.00,2018,http://www.imagesoftinc.com/,http://www.imagesoftinc.com/courts.html,n/a,n/a,PrivCo (www.privco.com),n/a,1220
Innovative Management Concepts,Y,VA,150,1989,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",25.00,2018,http://www.imcva.com/,http://www.ijis.org/?page=Member_List,n/a,n/a,PrivCo (www.privco.com),n/a,1221
Milamar Coatings (dba Polymax),Y,OK,65,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",25.00,2018,http://www.milamar.com/,http://www.milamar.com/wp-content/uploads/2014/09/2014-Detention-Centers.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1222
Talton Communications,Y,AL,,2002,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,Y,n/a,"n/a,",25.00,2018,https://talton.com/,See website,See website,n/a,PrivCo (www.privco.com),n/a,1223
Vanu,Y,MA,70,1998,Andrew Beard,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",25.00,2018,http://www.vanu.com/,http://www.vanu.com/solutions/cellular-suppression/,n/a,n/a,PrivCo (www.privco.com),n/a,1224
Advanced Systems Design,Y,FL,150,1979,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",24.00,2018,https://asd-web.com/,https://facts.fldfs.com/Search/ContractSearch.aspx,n/a,n/a,PrivCo (www.privco.com),n/a,1225
Alvarado Manufacturing,Y,CA,100,1956,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",24.00,2018,http://www.alvaradomfg.com/,https://www.ncjrs.gov/pdffiles1/nij/grants/192735.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1226
Dynamis,n/a,VA,127,2008,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",24.00,2018,https://dynamis.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1227
Employment Background Investigations,Y,MD,130,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Other,n/a,n/a,"n/a,",24.00,2018,https://www.ebiinc.com/,FL DOC Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1228
Fiberesin Industries,Y,WI,100,1946,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",24.00,2018,http://www.fiberesin.com/,http://www.fiberesin.com/Applications/Other-Applications,n/a,n/a,PrivCo (www.privco.com),n/a,1229
KMD Architects,Y,CA,180,1963,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",24.00,2018,http://www.kmdarchitects.com/,http://www.kmdarchitects.com/justice,n/a,n/a,PrivCo (www.privco.com),n/a,1230
Phoenix Supply (aka TJ3 LLC),Y,MN,100,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",24.00,2018,http://www.buyphoenixsupply.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1231
Pioneer Industries,Y,NJ,100,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",24.00,2016,http://www.pioneerindustries.com/,http://www.4specs.com/s/08/08-3460.html,n/a,n/a,PrivCo (www.privco.com),n/a,1232
Qbase,Y,VA,240,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,Y,n/a,"n/a,",24.00,2018,http://qbase.com/about/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1233
SymbolArts,Y,UT,110,1986,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",24.00,2018,https://www.symbolarts.com/,https://www.symbolarts.com/public-safety/,n/a,n/a,PrivCo (www.privco.com),n/a,1234
Worth Construction,Y,CT,110,1978,Michael Pontoriero,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",24.00,2018,http://worthconstruction.com/,http://worthconstruction.com/detention.html,n/a,n/a,PrivCo (www.privco.com),n/a,1235
Emblem Enterprises,Y,CA,40,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",23.60,2018,https://www.eeiemblems.com/,http://ajaproductserviceresource.com/,n/a,n/a,PrivCo (www.privco.com),n/a,1236
Cook's Direct,Y,IL,,1997,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Kitchen Equipment,n/a,n/a,"n/a,",23.40,2018,https://www.cooksdirect.com/,http://doc.ok.gov/Websites/doc/images/Documents/Administration/General%20Services/Contracts%20and%20Acquisitions/1310003731-T.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1237
Chamley Pipe & Salvage,Y,ND,60,1988,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",23.00,2018,www.chamleypipe.com,https://www.roughriderindustries.com/partners-retailers.html,n/a,See corrections source,PrivCo (www.privco.com),n/a,1238
Forerunner Technologies,Y,NY,,1989,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",23.00,2018,https://www.frtinc.com/,https://guidebook.com/guide/117198/list/579848/,n/a,n/a,PrivCo (www.privco.com),n/a,1239
Geode Capital Management,Y,MA,80,2001,n/a,n/a,Tier 2 - Investment Firm-Owned,Investor,Equity/Debt Investor,n/a,n/a,12,23.00,2018,https://www.geodecapital.com/,https://www.aft.org/sites/default/files/invest-risks-prisons-detention-2018.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1240
Judicial Correction Services,Y,GA,450,2001,n/a,n/a,Tier 2 - Investment Firm-Owned,Community Corrections,"Probation, Parole, & Other Supervision",n/a,n/a,13,23.00,2017,https://ppsfamily.com/history/,https://www.hrw.org/report/2018/02/20/set-fail/impact-offender-funded-private-probation-poor,n/a,n/a,PrivCo (www.privco.com),https://ppsfamily.com/history/,1241
Justice AV Solutions,Y,KY,150,1981,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",23.00,2018,http://javs.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1242
K2M Design,Y,OH,90,2001,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",23.00,2018,http://www.k2mdesign.com/,See Triton Holdings,n/a,n/a,PrivCo (www.privco.com),n/a,1243
Prime Lube,Y,NJ,110,1987,n/a,n/a,Tier 4 - Small Privately-Owned,Programs & Labor,Vocation/Industries (Prison Labor),n/a,Y,"n/a,",23.00,2018,http://primelubeinc.com/,NYS DOCCS Spending,n/a,See corrections source,PrivCo (www.privco.com),n/a,1244
Ray O'Herron,Y,IL,90,1964,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,n/a,"n/a,",23.00,2018,http://www.oherron.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1245
Sanitation Solutions,Y,TX,130,2004,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Maintenance Services,n/a,n/a,"n/a,",23.00,2018,https://www.sanisolu.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1246
ShawnTech,Y,OH,100,1993,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,"n/a,",23.00,2018,http://www.shawntech.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1247
SuperCom,Y,Israel,246,1988,Arie Trabelsi,SPCB,Tier 1a - Publicly Traded - Targeted Correctional Exposure,Community Corrections,Electronic Monitoring,n/a,n/a,13,23.00,2018,http://www.supercom.com/,http://www.supercom.com/hls,n/a,n/a,FactSet,n/a,1248
Tactical & Survival Specialties,Y,VA,60,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",Y,n/a,"n/a,",23.00,2018,https://www.tssi-ops.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1249
Art's Way Manufacturing,Y,IA,88,1956,Carrie Gunnerson,ARTW,Tier 1b - Publicly Traded - Other,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,7,22.90,2019,http://www.artsway-mfg.com/,See Art's Way Scientific,n/a,n/a,FactSet,n/a,1250
City Tele Coin,Y,LA,,1986,n/a,n/a,Tier 4 - Small Privately-Owned,Telecom,Prison Communications,n/a,n/a,"n/a,",22.20,2012,https://www.citytelecoin.com/,See website,n/a,n/a,https://static.prisonpolicy.org/phones/financials/2015/city_tele_coin_inc.pdf,n/a,1251
TLF Graphics,Y,NY,123,1980,n/a,n/a,Tier 4 - Small Privately-Owned,Food & Commissary,Prison Food,n/a,n/a,"n/a,",22.10,2018,http://www.tlfgraphics.com/,NYS DOCCS Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1252
Allworld Language Consultants ,Y,MD,110,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",Y,n/a,"n/a,",22.00,2018,https://www.alcinc.com/,n/a,Sludge - ICE Contract (https://readsludge.com/2018/07/06/who-is-making-money-from-ice-in-your-state/),n/a,PrivCo (www.privco.com),n/a,1253
Continental Flooring Company,Y,AZ,45,1979,Kathryn Smith,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",22.00,2018,https://www.continentalflooring.com/gerflor-the-flooring-group/,https://www.continentalflooring.com/about-us/,n/a,n/a,PrivCo (www.privco.com),n/a,1254
CPP,Y,CA,180,1956,n/a,n/a,Tier 4 - Small Privately-Owned,Personnel,Staff Training,n/a,n/a,"n/a,",22.00,2018,https://www.cpp.com/en/index.aspx,http://aca.org/DOCS/Conference/COC2018/Minneapolis%202018%20Exhibitor%20Prospectus.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1255
Cram Roofing,Y,TX,130,1986,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Construction,n/a,n/a,"n/a,",22.00,2018,http://www.cramroofing.com/,https://ehawksolutions.com/corrections/,n/a,n/a,PrivCo (www.privco.com),n/a,1256
Donnegan Systems,Y,MA,45,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",22.00,2018,http://donnegansystems.com/,http://donnegansystems.com/storage-shelving-solutions/public-safety-storage-systems/,n/a,n/a,PrivCo (www.privco.com),n/a,1257
Fireproof Records (aka Briar Gate Realty),Y,OH,110,1909,n/a,n/a,Tier 4 - Small Privately-Owned,Operations & Management,"Procurement, Contracting, & Other Admin Services",n/a,n/a,"n/a,",22.00,2018,http://www.fireproof.com,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1258
Firetron,Y,TX,140,1990,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",22.00,2018,http://firetron.com/,TDCJ Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1259
ImageTrend,Y,MN,190,1998,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",22.00,2018,https://www.imagetrend.com,https://www.correctionsone.com/company-directory/?filter=U&skip=1,n/a,n/a,PrivCo (www.privco.com),n/a,1260
Momentum Textiles (formerly Momentum Group),Y,CA,170,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",22.00,2018,https://www.memosamples.com/,https://www.nationalcia.org/corporate-members,n/a,See corrections source,PrivCo (www.privco.com),n/a,1261
PortionPac Chemical Corp,Y,IL,90,1964,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,Y,"n/a,",22.00,2018,http://portionpaccorp.com/,http://portionpaccorp.com/solutions/correctpac/,n/a,See corrections source,PrivCo (www.privco.com),n/a,1262
TimeKeeping Systems,Y,OH,45,1987,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",22.00,2018,https://www.guard1.com/,https://www.guard1.com/Solutions/Solutions-for-Correctional-Facilities.aspx,n/a,n/a,PrivCo (www.privco.com),https://guidebook.com/guide/117198/list/579848/,1263
Architects Hawaii Limited,Y,HI,88,1946,n/a,n/a,Tier 4 - Small Privately-Owned,Construction & Maintenance,Architecture & Engineerging,n/a,n/a,"n/a,",21.10,2018,http://www.ahldesign.com/,http://gracehebert.com/files/news/Correctional_News_2015_Architect_List.pdf,n/a,n/a,PrivCo (www.privco.com),n/a,1264
Accurate Controls,Y,WI,70,1982,Thomas Rogers,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",21.00,2018,http://www.accuratecontrols.com/,See website,n/a,n/a,PrivCo (www.privco.com),n/a,1265
AlphaSix Corporation,Y,VA,17,2011,n/a,n/a,Tier 4 - Small Privately-Owned,Data & Information Systems,IT & Communcations Infrastructure & Service,n/a,n/a,"n/a,",21.00,2018,http://www.alphasixcorp.com/,FBOP Spending,n/a,n/a,PrivCo (www.privco.com),n/a,1266
American Integrated Security Group (AISG),Y,NY,170,2007,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Technology,n/a,n/a,"n/a,",21.00,2018,https://www.aisg-online.com/,https://www.aisg-online.com/solutions-by-industry/corrections/,n/a,n/a,PrivCo (www.privco.com),n/a,1267
Avalon Eyewear,Y,NJ,45,n/a,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,Security Equipment,n/a,Y,"n/a,",21.00,2018,http://www.avaloneyewear.com/,https://www.nationalcia.org/corporate-members,n/a,https://www.nationalcia.org/corporate-members,PrivCo (www.privco.com),n/a,1268
Classic Medallics,Y,NY,45,1940,n/a,n/a,Tier 4 - Small Privately-Owned,Equipment,"Furnishings, Supplies, & Other Facility Equipment",n/a,n/a,"n/a,",21.00,2018,http://classic-medallics.com/,https://classic-medallics.com/517679g.html,n/a,n/a,PrivCo (www.privco.com),n/a,1269
